# Starter deck — Amharic songs.
#
# ⚠ THE YEARS BELOW ARE UNVERIFIED. They are my best effort so the game is
# playable today, not researched facts. No API reports original release dates
# reliably, which is why this file exists at all: a human has to confirm every
# year before these cards are fair to play with. Lensa — please correct these.
#
# year <TAB> artist_latin <TAB> title_latin <TAB> artist_am <TAB> title_am <TAB> youtube_url
1969	Mulatu Astatke	Yekermo Sew	ሙላቱ አስታጥቄ	የከርሞ ሰው
1972	Mulatu Astatke	Tezeta	ሙላቱ አስታጥቄ	ትዝታ
1975	Mahmoud Ahmed	Ere Mela Mela	ማህሙድ አህመድ	እሬ መላ መላ
1974	Mahmoud Ahmed	Tezeta	ማህሙድ አህመድ	ትዝታ
1969	Alemayehu Eshete	Tashamanaletch	ዓለማየሁ እሸቴ	ታሻማናለች
1970	Girma Beyene	Muziqawi Silt	ግርማ በየነ	ሙዚቃዊ ስልት
1977	Hailu Mergia	Yefkir Engurguro	ኃይሉ መርጊያ	የፍቅር እንጉርጉሮ
1966	Tilahun Gessesse	Hulum Behager New	ጥላሁን ገሠሠ	ሁሉም በሀገር ነው
1989	Aster Aweke	Y'shebellu	አስቴር አወቀ	ይሸበሉ
1991	Aster Aweke	Gela Gela	አስቴር አወቀ	ገላ ገላ
2022	Teddy Afro	Naet	ቴዲ አፍሮ	ናዕት	https://www.youtube.com/watch?v=1hMVeENjVew
2026	Teddy Afro	Das Tal	ቴዲ አፍሮ	ዳስ ጣል	https://www.youtube.com/watch?v=ADc9JPeLYi4
2013	Zeritu Kebede	Yane	ዘሪቱ ከበደ	ያኔ
2019	Rophnan	Desse	ሮፍናን	ደሴ
2016	Dawit Tsige	Andegna New Fikir	ዳዊት ጽጌ	አንደኛ ነው ፍቅር
2018	Abby Lakew	Messay	አቢ ላቀው	መሳይ
